micronutrient,term,sum_sq,df,F,PR(>F)
Choline,C(bacteria),76.32109713641275,1.0,588.5767884338738,1.4479062109252049e-11
Choline,C(concentration_uM),16.22421729952499,2.0,62.55935823314968,4.492696080056269e-07
Choline,C(bacteria):C(concentration_uM),6.902791458339098,2.0,26.616643236380003,3.875001924364636e-05
Choline,Residual,1.5560470335126855,12.0,,
Iron,C(bacteria),330.97881578647736,1.0,4404.583227789125,9.086304893180366e-17
Iron,C(concentration_uM),2.296910750605276,2.0,15.283356645960106,0.0005019572910054244
Iron,C(bacteria):C(concentration_uM),0.5605496843837893,2.0,3.729827439729754,0.054989107893341375
Iron,Residual,0.9017302169202831,12.0,,
VitaminB5,C(bacteria),146.26511603573462,1.0,1274.8409045976223,1.489337780542919e-13
VitaminB5,C(concentration_uM),8.578824474036706,2.0,37.38634559382294,6.99502183503293e-06
VitaminB5,C(bacteria):C(concentration_uM),2.3568887049477296,2.0,10.271273869284737,0.002514074671015045
VitaminB5,Residual,1.3767846529703271,12.0,,
VitaminB6,C(bacteria),379.62596398752186,1.0,2486.5519031897848,2.77437442582827e-15
VitaminB6,C(concentration_uM),3.64114638461669,2.0,11.924763229259566,0.0014066528678749518
VitaminB6,C(bacteria):C(concentration_uM),1.1645343741214884,2.0,3.8138528960006686,0.05222401278813432
VitaminB6,Residual,1.8320597136968613,12.0,,
