bacteria,micronutrient,concentration_uM,parameter,direction,magnitude_percent
e_coli_k12,VitaminB6,10,mumax,Increase,12
e_coli_k12,VitaminB6,10,lag,Decrease,8
e_coli_k12,VitaminB6,10,plateau,Increase,4
e_coli_k12,VitaminB6,50,mumax,Increase,22
e_coli_k12,VitaminB6,50,lag,Decrease,14
e_coli_k12,VitaminB6,50,plateau,Increase,7
e_coli_k12,VitaminB6,100,mumax,Increase,32
e_coli_k12,VitaminB6,100,lag,Decrease,20
e_coli_k12,VitaminB6,100,plateau,Increase,10
e_coli_k12,Iron,1,mumax,Increase,8
e_coli_k12,Iron,1,lag,Decrease,5
e_coli_k12,Iron,1,plateau,Increase,3
e_coli_k12,Iron,10,mumax,Increase,15
e_coli_k12,Iron,10,lag,Decrease,10
e_coli_k12,Iron,10,plateau,Increase,6
e_coli_k12,Iron,20,mumax,Increase,22
e_coli_k12,Iron,20,lag,Decrease,14
e_coli_k12,Iron,20,plateau,Increase,9
lactobacillus,Choline,200,mumax,Increase,10
lactobacillus,Choline,200,lag,Decrease,8
lactobacillus,Choline,200,plateau,Increase,12
lactobacillus,Choline,400,mumax,Increase,20
lactobacillus,Choline,400,lag,Decrease,14
lactobacillus,Choline,400,plateau,Increase,22
lactobacillus,Choline,600,mumax,Increase,30
lactobacillus,Choline,600,lag,Decrease,20
lactobacillus,Choline,600,plateau,Increase,32
lactobacillus,VitaminB5,10,mumax,Increase,8
lactobacillus,VitaminB5,10,lag,Decrease,6
lactobacillus,VitaminB5,10,plateau,Increase,6
lactobacillus,VitaminB5,50,mumax,Increase,16
lactobacillus,VitaminB5,50,lag,Decrease,11
lactobacillus,VitaminB5,50,plateau,Increase,12
lactobacillus,VitaminB5,100,mumax,Increase,24
lactobacillus,VitaminB5,100,lag,Decrease,16
lactobacillus,VitaminB5,100,plateau,Increase,18
lactobacillus,Iron,1,mumax,Increase,3
lactobacillus,Iron,1,lag,Decrease,2
lactobacillus,Iron,1,plateau,Increase,2
lactobacillus,Iron,10,mumax,Increase,6
lactobacillus,Iron,10,lag,Decrease,4
lactobacillus,Iron,10,plateau,Increase,3
lactobacillus,Iron,20,mumax,Increase,9
lactobacillus,Iron,20,lag,Decrease,6
lactobacillus,Iron,20,plateau,Increase,4
lactobacillus,VitaminB6,10,mumax,Increase,3
lactobacillus,VitaminB6,10,lag,Decrease,2
lactobacillus,VitaminB6,10,plateau,Increase,1
lactobacillus,VitaminB6,50,mumax,Increase,5
lactobacillus,VitaminB6,50,lag,Decrease,4
lactobacillus,VitaminB6,50,plateau,Increase,2
lactobacillus,VitaminB6,100,mumax,Increase,7
lactobacillus,VitaminB6,100,lag,Decrease,6
lactobacillus,VitaminB6,100,plateau,Increase,3
e_coli_k12,VitaminB5,10,mumax,Increase,2
e_coli_k12,VitaminB5,10,lag,Decrease,1
e_coli_k12,VitaminB5,10,plateau,Increase,1
e_coli_k12,VitaminB5,50,mumax,Increase,4
e_coli_k12,VitaminB5,50,lag,Decrease,2
e_coli_k12,VitaminB5,50,plateau,Increase,2
e_coli_k12,VitaminB5,100,mumax,Increase,6
e_coli_k12,VitaminB5,100,lag,Decrease,3
e_coli_k12,VitaminB5,100,plateau,Increase,3
e_coli_k12,Choline,200,mumax,Increase,2
e_coli_k12,Choline,200,lag,Decrease,1
e_coli_k12,Choline,200,plateau,Increase,1
e_coli_k12,Choline,400,mumax,Increase,4
e_coli_k12,Choline,400,lag,Decrease,2
e_coli_k12,Choline,400,plateau,Increase,2
e_coli_k12,Choline,600,mumax,Increase,6
e_coli_k12,Choline,600,lag,Decrease,3
e_coli_k12,Choline,600,plateau,Increase,3
